کلاس کالا,کد کلاس,سرگروه کالا,کد سرگروه,گروه کالا,کد گروه,شناسه تکمیلی,کد شناسه,ویژگی اصلی فنی,کد ویژگی اصلی,ویژگی فرعی فنی,کد ویژگی فرعی,شرح کالا,کد سریال,کد کامل
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تولیدی هانی موتور,01,هواخنک,001,۲ سوپاپ (2Valve),01,شرح کالا,001,11-1-01-01-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تولیدی هانی موتور,01,هواخنک,001,۴ سوپاپ (4Valve),02,شرح کالا,001,11-1-01-01-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تولیدی هانی موتور,01,مایع خنک,002,۲ سوپاپ (2Valve),01,شرح کالا,001,11-1-01-01-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تولیدی هانی موتور,01,مایع خنک,002,۴ سوپاپ (4Valve),02,شرح کالا,001,11-1-01-01-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تولیدی هانی موتور,01,روغن خنک,003,۲ سوپاپ (2Valve),01,شرح کالا,001,11-1-01-01-003-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تولیدی هانی موتور,01,روغن خنک,003,۴ سوپاپ (4Valve),02,شرح کالا,001,11-1-01-01-003-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تامین ‌کننده داخلی,02,هواخنک,001,۲ سوپاپ (2Valve),01,شرح کالا,001,11-1-01-02-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تامین ‌کننده داخلی,02,هواخنک,001,۴ سوپاپ (4Valve),02,شرح کالا,001,11-1-01-02-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تامین ‌کننده داخلی,02,مایع خنک,002,۲ سوپاپ (2Valve),01,شرح کالا,001,11-1-01-02-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تامین ‌کننده داخلی,02,مایع خنک,002,۴ سوپاپ (4Valve),02,شرح کالا,001,11-1-01-02-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تامین ‌کننده داخلی,02,روغن خنک,003,۲ سوپاپ (2Valve),01,شرح کالا,001,11-1-01-02-003-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تامین ‌کننده داخلی,02,روغن خنک,003,۴ سوپاپ (4Valve),02,شرح کالا,001,11-1-01-02-003-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تامین‌ کننده خارجی,03,هواخنک,001,۲ سوپاپ (2Valve),01,شرح کالا,001,11-1-01-03-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تامین‌ کننده خارجی,03,هواخنک,001,۴ سوپاپ (4Valve),02,شرح کالا,001,11-1-01-03-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تامین‌ کننده خارجی,03,مایع خنک,002,۲ سوپاپ (2Valve),01,شرح کالا,001,11-1-01-03-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تامین‌ کننده خارجی,03,مایع خنک,002,۴ سوپاپ (4Valve),02,شرح کالا,001,11-1-01-03-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تامین‌ کننده خارجی,03,روغن خنک,003,۲ سوپاپ (2Valve),01,شرح کالا,001,11-1-01-03-003-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور بنزيني,01,تامین‌ کننده خارجی,03,روغن خنک,003,۴ سوپاپ (4Valve),02,شرح کالا,001,11-1-01-03-003-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تولیدی هانی موتور,01,500 وات,001,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-01-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تولیدی هانی موتور,01,500 وات,001,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-01-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تولیدی هانی موتور,01,1000 وات,002,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-01-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تولیدی هانی موتور,01,1000 وات,002,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-01-002-02-001
